Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Benin,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,32530,49011.0,2022,5.29,-5.09%,5.16,4.58,5.73,32693.47,252896.76,1.5,7.74,América do Sul,0.45,Alto
Bósnia-Herzegovina,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,2504,952.0,2022,5.29,-5.09%,5.16,4.58,5.73,2516.58,4912.32,0.38,1.95,América do Sul,0.01,Médio
Bulgária,5,31.0,2022,5.29,-5.09%,5.16,4.58,5.73,5.03,159.96,6.16,31.8,Europa,0.0,Muito Baixo
Cabo Verde,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,1183,5784.0,2022,5.29,-5.09%,5.16,4.58,5.73,1188.94,29845.44,4.86,25.1,América do Norte e Central,0.05,Baixo
Catar,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,160,958.0,2022,5.29,-5.09%,5.16,4.58,5.73,160.8,4943.28,5.96,30.74,América do Norte e Central,0.01,Muito Baixo
Chile,2094,7986.0,2022,5.29,-5.09%,5.16,4.58,5.73,2104.52,41207.76,3.79,19.58,América do Sul,0.07,Médio
China,105395,404647.0,2022,5.29,-5.09%,5.16,4.58,5.73,105924.62,2087978.52,3.82,19.71,Ásia,3.7,Alto
Chipre,1521,4458.0,2022,5.29,-5.09%,5.16,4.58,5.73,1528.64,23003.28,2.92,15.05,Ásia,0.04,Médio
Cingapura,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cocos,26,60.0,2022,5.29,-5.09%,5.16,4.58,5.73,26.13,309.6,2.3,11.85,,0.0,Muito Baixo
Colômbia,8217,14068.0,2022,5.29,-5.09%,5.16,4.58,5.73,8258.29,72590.88,1.7,8.79,América do Sul,0.13,Alto
Comores,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Congo,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,77,257.0,2022,5.29,-5.09%,5.16,4.58,5.73,77.39,1326.12,3.32,17.14,,0.0,Muito Baixo
Costa do Marfim,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,34,484.0,2022,5.29,-5.09%,5.16,4.58,5.73,34.17,2497.44,14.16,73.09,Europa,0.0,Muito Baixo
Cuba,16,6.0,2022,5.29,-5.09%,5.16,4.58,5.73,16.08,30.96,0.37,1.93,América do Norte e Central,0.0,Muito Baixo
Curaçao,40673,66950.0,2022,5.29,-5.09%,5.16,4.58,5.73,40877.39,345462.0,1.64,8.45,,0.61,Alto
Dinamarca,2,6.0,2022,5.29,-5.09%,5.16,4.58,5.73,2.01,30.96,2.99,15.4,Europa,0.0,Muito Baixo
Dominica,1485,2223.0,2022,5.29,-5.09%,5.16,4.58,5.73,1492.46,11470.68,1.49,7.69,América do Norte e Central,0.02,Médio
